scores,apple,steps,time per apple
15.0,327,96809,21.8
1.0,18,96827,18.0
16.0,311,97138,19.4375
25.0,652,97790,26.08
22.0,566,98356,25.727272727272727
26.0,405,98761,15.576923076923077
25.0,583,99344,23.32
19.0,257,99601,13.526315789473685
18.0,666,100267,37.0
16.0,691,100958,43.1875
20.0,448,101406,22.4
6.0,115,101521,19.166666666666668
28.0,1044,102565,37.285714285714285
9.0,244,102809,27.11111111111111
18.0,608,103417,33.77777777777778
21.0,558,103975,26.571428571428573
8.0,212,104187,26.5
10.0,387,104574,38.7
10.0,143,104717,14.3
13.0,410,105127,31.53846153846154
15.0,344,105471,22.933333333333334
22.0,563,106034,25.59090909090909
25.0,529,106563,21.16
8.0,165,106728,20.625
17.0,519,107247,30.529411764705884
15.0,794,108041,52.93333333333333
20.0,637,108678,31.85
6.0,164,108842,27.333333333333332
1.0,462,109304,462.0
28.0,565,109869,20.178571428571427
7.0,561,110430,80.14285714285714
9.0,184,110614,20.444444444444443
15.0,261,110875,17.4
14.0,253,111128,18.071428571428573
15.0,316,111444,21.066666666666666
18.0,406,111850,22.555555555555557
21.0,479,112329,22.80952380952381
37.0,673,113002,18.18918918918919
4.0,112,113114,28.0
32.0,673,113787,21.03125
22.0,549,114336,24.954545454545453
4.0,98,114434,24.5
18.0,428,114862,23.77777777777778
24.0,559,115421,23.291666666666668
10.0,243,115664,24.3
24.0,801,116465,33.375
14.0,359,116824,25.642857142857142
9.0,694,117518,77.11111111111111
31.0,1287,118805,41.516129032258064
27.0,1250,120055,46.2962962962963
24.0,912,120967,38.0
2.0,526,121493,263.0
18.0,284,121777,15.777777777777779
18.0,470,122247,26.11111111111111
13.0,267,122514,20.53846153846154
19.0,352,122866,18.526315789473685
18.0,352,123218,19.555555555555557
18.0,328,123546,18.22222222222222
16.0,252,123798,15.75
13.0,237,124035,18.23076923076923
21.0,409,124444,19.476190476190474
13.0,289,124733,22.23076923076923
4.0,109,124842,27.25
26.0,532,125374,20.46153846153846
32.0,785,126159,24.53125
24.0,599,126758,24.958333333333332
23.0,639,127397,27.782608695652176
24.0,542,127939,22.583333333333332
9.0,198,128137,22.0
1.0,443,128580,443.0
15.0,508,129088,33.86666666666667
16.0,231,129319,14.4375
4.0,65,129384,16.25
15.0,241,129625,16.066666666666666
12.0,322,129947,26.833333333333332
19.0,476,130423,25.05263157894737
15.0,507,130930,33.8
23.0,642,131572,27.91304347826087
14.0,424,131996,30.285714285714285
11.0,371,132367,33.72727272727273
0.0,441,132808,inf
1.0,483,133291,483.0
6.0,661,133952,110.16666666666667
0.0,11,133963,inf
8.0,765,134728,95.625
4.0,87,134815,21.75
27.0,610,135425,22.59259259259259
18.0,245,135670,13.61111111111111
13.0,243,135913,18.692307692307693
21.0,401,136314,19.095238095238095
22.0,523,136837,23.772727272727273
14.0,281,137118,20.071428571428573
8.0,154,137272,19.25
7.0,97,137369,13.857142857142858
7.0,281,137650,40.142857142857146
7.0,165,137815,23.571428571428573
24.0,831,138646,34.625
1.0,480,139126,480.0
14.0,430,139556,30.714285714285715
6.0,178,139734,29.666666666666668
0.0,69,139803,inf
6.0,88,139891,14.666666666666666
5.0,601,140492,120.2
1.0,460,140952,460.0
3.0,162,141114,54.0
10.0,362,141476,36.2
3.0,127,141603,42.333333333333336
21.0,428,142031,20.38095238095238
12.0,405,142436,33.75
1.0,451,142887,451.0
9.0,263,143150,29.22222222222222
5.0,180,143330,36.0
4.0,103,143433,25.75
12.0,286,143719,23.833333333333332
11.0,390,144109,35.45454545454545
12.0,413,144522,34.416666666666664
5.0,109,144631,21.8
1.0,42,144673,42.0
0.0,441,145114,inf
1.0,454,145568,454.0
2.0,450,146018,225.0
1.0,75,146093,75.0
3.0,63,146156,21.0
1.0,13,146169,13.0
8.0,261,146430,32.625
1.0,459,146889,459.0
8.0,129,147018,16.125
7.0,118,147136,16.857142857142858
23.0,537,147673,23.347826086956523
8.0,197,147870,24.625
1.0,488,148358,488.0
6.0,608,148966,101.33333333333333
1.0,17,148983,17.0
16.0,488,149471,30.5
14.0,349,149820,24.928571428571427
10.0,221,150041,22.1
33.0,751,150792,22.757575757575758
4.0,72,150864,18.0
7.0,99,150963,14.142857142857142
10.0,184,151147,18.4
9.0,241,151388,26.77777777777778
4.0,168,151556,42.0
9.0,274,151830,30.444444444444443
14.0,433,152263,30.928571428571427
20.0,539,152802,26.95
2.0,518,153320,259.0
1.0,126,153446,126.0
7.0,154,153600,22.0
4.0,82,153682,20.5
13.0,303,153985,23.307692307692307
35.0,725,154710,20.714285714285715
9.0,659,155369,73.22222222222223
14.0,321,155690,22.928571428571427
27.0,614,156304,22.74074074074074
23.0,452,156756,19.652173913043477
16.0,446,157202,27.875
19.0,386,157588,20.31578947368421
26.0,473,158061,18.192307692307693
31.0,694,158755,22.387096774193548
30.0,588,159343,19.6
10.0,239,159582,23.9
7.0,624,160206,89.14285714285714
8.0,270,160476,33.75
26.0,845,161321,32.5
9.0,697,162018,77.44444444444444
32.0,1025,163043,32.03125
21.0,1045,164088,49.76190476190476
16.0,939,165027,58.6875
32.0,1296,166323,40.5
26.0,810,167133,31.153846153846153
11.0,375,167508,34.09090909090909
29.0,1105,168613,38.10344827586207
33.0,1005,169618,30.454545454545453
43.0,1130,170748,26.27906976744186
19.0,528,171276,27.789473684210527
20.0,560,171836,28.0
16.0,396,172232,24.75
22.0,497,172729,22.59090909090909
39.0,914,173643,23.435897435897434
9.0,166,173809,18.444444444444443
21.0,854,174663,40.666666666666664
8.0,218,174881,27.25
31.0,899,175780,29.0
30.0,558,176338,18.6
29.0,668,177006,23.03448275862069
10.0,271,177277,27.1
24.0,545,177822,22.708333333333332
15.0,374,178196,24.933333333333334
5.0,80,178276,16.0
3.0,77,178353,25.666666666666668
11.0,247,178600,22.454545454545453
5.0,100,178700,20.0
7.0,234,178934,33.42857142857143
26.0,589,179523,22.653846153846153
13.0,308,179831,23.692307692307693
16.0,457,180288,28.5625
32.0,979,181267,30.59375
15.0,379,181646,25.266666666666666
29.0,697,182343,24.03448275862069
18.0,460,182803,25.555555555555557
15.0,316,183119,21.066666666666666
36.0,892,184011,24.77777777777778
14.0,425,184436,30.357142857142858
12.0,259,184695,21.583333333333332
26.0,567,185262,21.807692307692307
17.0,347,185609,20.41176470588235
20.0,519,186128,25.95
9.0,170,186298,18.88888888888889
21.0,307,186605,14.619047619047619
17.0,357,186962,21.0
24.0,474,187436,19.75
6.0,119,187555,19.833333333333332
34.0,561,188116,16.5
10.0,168,188284,16.8
11.0,200,188484,18.181818181818183
37.0,700,189184,18.91891891891892
16.0,252,189436,15.75
16.0,296,189732,18.5
11.0,148,189880,13.454545454545455
26.0,365,190245,14.038461538461538
24.0,429,190674,17.875
42.0,882,191556,21.0
34.0,495,192051,14.558823529411764
30.0,564,192615,18.8
8.0,137,192752,17.125
13.0,228,192980,17.53846153846154
7.0,206,193186,29.428571428571427
11.0,407,193593,37.0
11.0,198,193791,18.0
12.0,374,194165,31.166666666666668
16.0,334,194499,20.875
19.0,370,194869,19.473684210526315
7.0,162,195031,23.142857142857142
7.0,166,195197,23.714285714285715
22.0,427,195624,19.40909090909091
14.0,260,195884,18.571428571428573
5.0,87,195971,17.4
36.0,941,196912,26.13888888888889
1.0,42,196954,42.0
39.0,1136,198090,29.128205128205128
13.0,388,198478,29.846153846153847
8.0,633,199111,79.125
3.0,111,199222,37.0
3.0,135,199357,45.0
2.0,54,199411,27.0
1.0,35,199446,35.0
5.0,544,199990,108.8
1.0,450,200440,450.0
0.0,23,200463,inf
0.0,83,200546,inf
4.0,495,201041,123.75
1.0,92,201133,92.0
0.0,441,201574,inf
2.0,545,202119,272.5
0.0,86,202205,inf
3.0,105,202310,35.0
7.0,148,202458,21.142857142857142
2.0,93,202551,46.5
3.0,572,203123,190.66666666666666
7.0,249,203372,35.57142857142857
13.0,321,203693,24.692307692307693
10.0,366,204059,36.6
14.0,346,204405,24.714285714285715
7.0,577,204982,82.42857142857143
10.0,249,205231,24.9
8.0,176,205407,22.0
7.0,151,205558,21.571428571428573
20.0,419,205977,20.95
18.0,395,206372,21.944444444444443
6.0,154,206526,25.666666666666668
5.0,100,206626,20.0
9.0,201,206827,22.333333333333332
37.0,1248,208075,33.729729729729726
11.0,278,208353,25.272727272727273
12.0,214,208567,17.833333333333332
34.0,793,209360,23.323529411764707
9.0,289,209649,32.111111111111114
6.0,172,209821,28.666666666666668
16.0,669,210490,41.8125
4.0,93,210583,23.25
11.0,245,210828,22.272727272727273
4.0,126,210954,31.5
16.0,406,211360,25.375
17.0,403,211763,23.705882352941178
15.0,380,212143,25.333333333333332
4.0,107,212250,26.75
4.0,69,212319,17.25
24.0,570,212889,23.75
19.0,495,213384,26.05263157894737
16.0,436,213820,27.25
22.0,545,214365,24.772727272727273
6.0,189,214554,31.5
18.0,343,214897,19.055555555555557
8.0,283,215180,35.375
19.0,421,215601,22.157894736842106
23.0,706,216307,30.695652173913043
17.0,460,216767,27.058823529411764
6.0,143,216910,23.833333333333332
18.0,332,217242,18.444444444444443
20.0,470,217712,23.5
17.0,359,218071,21.11764705882353
17.0,406,218477,23.88235294117647
40.0,1297,219774,32.425
3.0,81,219855,27.0
7.0,251,220106,35.857142857142854
15.0,337,220443,22.466666666666665
18.0,354,220797,19.666666666666668
17.0,437,221234,25.705882352941178
6.0,222,221456,37.0
10.0,220,221676,22.0
12.0,313,221989,26.083333333333332
14.0,314,222303,22.428571428571427
17.0,465,222768,27.352941176470587
7.0,124,222892,17.714285714285715
21.0,480,223372,22.857142857142858
10.0,244,223616,24.4
14.0,410,224026,29.285714285714285
24.0,644,224670,26.833333333333332
25.0,702,225372,28.08
23.0,941,226313,40.91304347826087
19.0,758,227071,39.89473684210526
12.0,682,227753,56.833333333333336
4.0,583,228336,145.75
18.0,549,228885,30.5
20.0,478,229363,23.9
20.0,510,229873,25.5
18.0,695,230568,38.611111111111114
8.0,324,230892,40.5
1.0,452,231344,452.0
0.0,441,231785,inf
2.0,489,232274,244.5
0.0,441,232715,inf
0.0,441,233156,inf
1.0,75,233231,75.0
11.0,1011,234242,91.9090909090909
6.0,566,234808,94.33333333333333
12.0,1386,236194,115.5
21.0,2293,238487,109.19047619047619
11.0,728,239215,66.18181818181819
13.0,744,239959,57.23076923076923
16.0,1207,241166,75.4375
21.0,1818,242984,86.57142857142857
37.0,2205,245189,59.5945945945946
25.0,1022,246211,40.88
26.0,1479,247690,56.88461538461539
18.0,993,248683,55.166666666666664
37.0,2431,251114,65.70270270270271
26.0,1247,252361,47.96153846153846
18.0,1046,253407,58.111111111111114
27.0,1317,254724,48.77777777777778
1.0,108,254832,108.0
1.0,82,254914,82.0
14.0,525,255439,37.5
23.0,1163,256602,50.56521739130435
21.0,1345,257947,64.04761904761905
32.0,1690,259637,52.8125
12.0,457,260094,38.083333333333336
11.0,538,260632,48.90909090909091
8.0,1066,261698,133.25
20.0,1159,262857,57.95
18.0,1095,263952,60.833333333333336
6.0,271,264223,45.166666666666664
3.0,103,264326,34.333333333333336
23.0,955,265281,41.52173913043478
18.0,1563,266844,86.83333333333333
0.0,29,266873,inf
4.0,129,267002,32.25
11.0,469,267471,42.63636363636363
13.0,261,267732,20.076923076923077
5.0,175,267907,35.0
47.0,1459,269366,31.04255319148936
22.0,486,269852,22.09090909090909
24.0,842,270694,35.083333333333336
45.0,1440,272134,32.0
20.0,636,272770,31.8
9.0,429,273199,47.666666666666664
46.0,1221,274420,26.543478260869566
12.0,303,274723,25.25
16.0,459,275182,28.6875
37.0,1056,276238,28.54054054054054
31.0,1075,277313,34.67741935483871
19.0,595,277908,31.31578947368421
29.0,901,278809,31.06896551724138
40.0,1432,280241,35.8
24.0,714,280955,29.75
21.0,525,281480,25.0
44.0,1510,282990,34.31818181818182
33.0,922,283912,27.939393939393938
42.0,1320,285232,31.428571428571427
29.0,730,285962,25.17241379310345
25.0,790,286752,31.6
28.0,965,287717,34.464285714285715
14.0,380,288097,27.142857142857142
39.0,1087,289184,27.871794871794872
1.0,467,289651,467.0
2.0,466,290117,233.0
7.0,835,290952,119.28571428571429
17.0,605,291557,35.588235294117645
33.0,922,292479,27.939393939393938
11.0,279,292758,25.363636363636363
10.0,258,293016,25.8
20.0,551,293567,27.55
28.0,673,294240,24.035714285714285
3.0,526,294766,175.33333333333334
8.0,255,295021,31.875
23.0,877,295898,38.130434782608695
0.0,441,296339,inf
11.0,681,297020,61.90909090909091
2.0,149,297169,74.5
