"value","category"
24.4074074074074,"Vector"
28.047619047619,"Tabular"
25.6666666666667,"Onestep"
22.8571428571429,"Vector"
21.75,"Tabular"
23.4444444444444,"Onestep"
22.6129032258065,"Vector"
24.9767441860465,"Tabular"
18.2962962962963,"Onestep"
23.0526315789474,"Vector"
18.4444444444444,"Tabular"
24.2903225806452,"Onestep"
23.6818181818182,"Vector"
21.125,"Tabular"
20.6470588235294,"Onestep"
22.625,"Vector"
29.375,"Tabular"
24.625,"Onestep"
23.9714285714286,"Vector"
25.8064516129032,"Tabular"
23.5161290322581,"Onestep"
16.8571428571429,"Vector"
22.3529411764706,"Tabular"
17.8666666666667,"Onestep"
21.8333333333333,"Vector"
23.962962962963,"Tabular"
23.9166666666667,"Onestep"
19,"Vector"
17.375,"Tabular"
21.6976744186047,"Onestep"
26.8125,"Vector"
26.4,"Tabular"
28.0526315789474,"Onestep"
19.1428571428571,"Vector"
21.3888888888889,"Tabular"
23.25,"Onestep"
22.3333333333333,"Vector"
22.7,"Tabular"
22.3333333333333,"Onestep"
17.5416666666667,"Vector"
19.8,"Tabular"
22.5405405405405,"Onestep"
19.4375,"Vector"
25.5384615384615,"Tabular"
23.0689655172414,"Onestep"
24.2,"Vector"
29.0909090909091,"Tabular"
24.1315789473684,"Onestep"
27.7272727272727,"Vector"
25.1,"Tabular"
20.5714285714286,"Onestep"
23.45,"Vector"
19.75,"Tabular"
22.6774193548387,"Onestep"
23.6428571428571,"Vector"
24.2068965517241,"Tabular"
23.3888888888889,"Onestep"
22.4193548387097,"Vector"
22.2325581395349,"Tabular"
21.525,"Onestep"
25.5,"Vector"
20.2954545454545,"Tabular"
20.7209302325581,"Onestep"
19,"Vector"
21.625,"Tabular"
22.6842105263158,"Onestep"
25.4666666666667,"Vector"
25.1290322580645,"Tabular"
16.7333333333333,"Onestep"
19.875,"Vector"
24.7142857142857,"Tabular"
29.5454545454545,"Onestep"
24.7,"Vector"
25.625,"Tabular"
19.8333333333333,"Onestep"
20.16,"Vector"
20.3181818181818,"Tabular"
25.3714285714286,"Onestep"
20.75,"Vector"
27.75,"Tabular"
20.9285714285714,"Onestep"
22.7826086956522,"Vector"
22.9166666666667,"Tabular"
22.2333333333333,"Onestep"
18.0526315789474,"Vector"
22.8333333333333,"Tabular"
26.2325581395349,"Onestep"
24.9,"Vector"
21.2068965517241,"Tabular"
23.6363636363636,"Onestep"
20.4545454545455,"Vector"
26.1666666666667,"Tabular"
22.8421052631579,"Onestep"
22.6666666666667,"Vector"
20.2631578947368,"Tabular"
21,"Onestep"
22.8823529411765,"Vector"
24.8888888888889,"Tabular"
20.8275862068966,"Onestep"
25.0588235294118,"Vector"
25.1851851851852,"Tabular"
16.9411764705882,"Onestep"
22.4,"Vector"
23.0606060606061,"Tabular"
21.3571428571429,"Onestep"
21.4074074074074,"Vector"
19.2857142857143,"Tabular"
22.9583333333333,"Onestep"
21,"Vector"
22.8965517241379,"Tabular"
24.4285714285714,"Onestep"
20.7826086956522,"Vector"
27.1875,"Tabular"
25,"Onestep"
24.8260869565217,"Vector"
24.25,"Tabular"
28.8888888888889,"Onestep"
24.46875,"Vector"
18.6666666666667,"Tabular"
22.8148148148148,"Onestep"
23.3461538461538,"Vector"
21.1136363636364,"Tabular"
24.6610169491525,"Onestep"
24,"Vector"
24.95,"Tabular"
27.1794871794872,"Onestep"
24.8,"Vector"
21.65,"Tabular"
24.8947368421053,"Onestep"
19.9375,"Vector"
16.3846153846154,"Tabular"
21.0833333333333,"Onestep"
26.3783783783784,"Vector"
17.9230769230769,"Tabular"
21.7857142857143,"Onestep"
16.2352941176471,"Vector"
19.7272727272727,"Tabular"
23.7368421052632,"Onestep"
22.4,"Vector"
24.0689655172414,"Tabular"
26.3333333333333,"Onestep"
22.9,"Vector"
24,"Tabular"
23.3478260869565,"Onestep"
18,"Vector"
20.0454545454545,"Tabular"
24.6315789473684,"Onestep"
25.7307692307692,"Vector"
24.125,"Tabular"
26.6976744186047,"Onestep"
19.3076923076923,"Vector"
24.875,"Tabular"
19.1818181818182,"Onestep"
24.3571428571429,"Vector"
23.9767441860465,"Tabular"
24.1052631578947,"Onestep"
23.5862068965517,"Vector"
25.6666666666667,"Tabular"
22.962962962963,"Onestep"
21.125,"Vector"
26,"Tabular"
21.6190476190476,"Onestep"
23.5357142857143,"Vector"
24.25,"Tabular"
23.5128205128205,"Onestep"
22,"Vector"
23.4324324324324,"Tabular"
25.3414634146341,"Onestep"
22.2857142857143,"Vector"
30,"Tabular"
28.05,"Onestep"
22.9375,"Vector"
26.2631578947368,"Tabular"
19,"Onestep"
20.1851851851852,"Vector"
20.037037037037,"Tabular"
26.9772727272727,"Onestep"
20.3214285714286,"Vector"
24.88,"Tabular"
15.8888888888889,"Onestep"
21.2608695652174,"Vector"
27.5,"Tabular"
18.551724137931,"Onestep"
24.2692307692308,"Vector"
22,"Tabular"
25.7142857142857,"Onestep"
23.9393939393939,"Vector"
23.3513513513514,"Tabular"
22.3,"Onestep"
23.4375,"Vector"
19.9354838709677,"Tabular"
20.8,"Onestep"
25.0444444444444,"Vector"
20.8947368421053,"Tabular"
26.5454545454545,"Onestep"
20.0833333333333,"Vector"
19.3666666666667,"Tabular"
21.0731707317073,"Onestep"
24.9487179487179,"Vector"
29.7368421052632,"Tabular"
18.59375,"Onestep"
20.9459459459459,"Vector"
23.7333333333333,"Tabular"
18.6923076923077,"Onestep"
26.4705882352941,"Vector"
15.6,"Tabular"
24.0434782608696,"Onestep"
15.9375,"Vector"
28.7307692307692,"Tabular"
22.4473684210526,"Onestep"
27.25,"Vector"
26.8095238095238,"Tabular"
20.1714285714286,"Onestep"
26.76,"Vector"
19.9024390243902,"Tabular"
19.2,"Onestep"
22.6326530612245,"Vector"
22.5161290322581,"Tabular"
23.1428571428571,"Onestep"
18.1153846153846,"Vector"
28.9,"Tabular"
25.4166666666667,"Onestep"
21.3076923076923,"Vector"
24.9,"Tabular"
26.1333333333333,"Onestep"
24.6470588235294,"Vector"
26.75,"Tabular"
18,"Onestep"
25.5172413793103,"Vector"
16.5789473684211,"Tabular"
15.9285714285714,"Onestep"
22.7222222222222,"Vector"
24.4444444444444,"Tabular"
26.6,"Onestep"
26.5652173913043,"Vector"
28.093023255814,"Tabular"
28.6764705882353,"Onestep"
24.0571428571429,"Vector"
22.05,"Tabular"
24.6315789473684,"Onestep"
22,"Vector"
23.5121951219512,"Tabular"
21.3461538461538,"Onestep"
21.1578947368421,"Vector"
17.4736842105263,"Tabular"
22.7272727272727,"Onestep"
23.1153846153846,"Vector"
23.6756756756757,"Tabular"
22.3103448275862,"Onestep"
18.8,"Vector"
22.78125,"Tabular"
22.1052631578947,"Onestep"
30.2777777777778,"Vector"
23.3333333333333,"Tabular"
25.5405405405405,"Onestep"
22.9285714285714,"Vector"
22.5185185185185,"Tabular"
24.1315789473684,"Onestep"
17.25,"Vector"
25.9512195121951,"Tabular"
23.5789473684211,"Onestep"
25.8913043478261,"Vector"
20.15,"Tabular"
15.9047619047619,"Onestep"
21.4130434782609,"Vector"
27.3913043478261,"Tabular"
18.0967741935484,"Onestep"
25,"Vector"
25.2307692307692,"Tabular"
22.8421052631579,"Onestep"
24.5882352941176,"Vector"
23.6842105263158,"Tabular"
20.4666666666667,"Onestep"
18.1764705882353,"Vector"
25.2592592592593,"Tabular"
21.5909090909091,"Onestep"
23.0666666666667,"Vector"
25.4761904761905,"Tabular"
21.7333333333333,"Onestep"
22.1142857142857,"Vector"
19.275,"Tabular"
18.2941176470588,"Onestep"
22.1764705882353,"Vector"
23.0769230769231,"Tabular"
21.6842105263158,"Onestep"
21.7333333333333,"Vector"
27.2258064516129,"Tabular"
19.0294117647059,"Onestep"
30.2173913043478,"Vector"
29.1578947368421,"Tabular"
21.9642857142857,"Onestep"
22.3055555555556,"Vector"
23.1162790697674,"Tabular"
20.6122448979592,"Onestep"
25.9230769230769,"Vector"
19.1176470588235,"Tabular"
21.5,"Onestep"
25.1666666666667,"Vector"
20.3333333333333,"Tabular"
24.8333333333333,"Onestep"
26.95,"Vector"
20.8571428571429,"Tabular"
22.6444444444444,"Onestep"
25.8490566037736,"Vector"
24.1290322580645,"Tabular"
24.5333333333333,"Onestep"
23.8888888888889,"Vector"
23.8421052631579,"Tabular"
26.625,"Onestep"
23.8181818181818,"Vector"
25.75,"Tabular"
23.9130434782609,"Onestep"
26.4848484848485,"Vector"
25.3809523809524,"Tabular"
22.5,"Onestep"
24.1428571428571,"Vector"
24.52,"Tabular"
25.7058823529412,"Onestep"
18.5652173913043,"Vector"
18.8260869565217,"Tabular"
19.2682926829268,"Onestep"
20.6538461538462,"Vector"
26.5555555555556,"Tabular"
20.8620689655172,"Onestep"
25.8125,"Vector"
